Date,State,Town,Longitude,Latitude,Sighting
09/13/17,TX,Austin,-97.7,30.2,1
09/13/17,IL,Oak Park,-87.8,41.9,1
09/13/17,TX,Dallas,-96.7,32.8,1
09/13/17,VA,Newport News,-76.5,37.1,1
09/13/17,OH,Chagrin Falls,-81.4,41.5,2
09/13/17,CT,Durham,-72.7,41.5,1
09/13/17,IL,Peoria,-89.6,40.8,3
09/13/17,CO,Grand Junction,-108.6,39.1,2
09/13/17,VA,Toano,-76.8,37.4,1
09/13/17,NE,Bellevue,-95.9,41.2,5
09/13/17,ND,Hettinger,-102.6,46,12
09/13/17,NH,Dover,-70.9,43.2,22
09/13/17,MN,Brooklyn Center,-93.3,45.1,3
09/13/17,ME,Hartland,-69.5,44.9,1
09/13/17,SC,Rock Hill,-81,34.9,1
09/13/17,MI,Grass Lake Charter Township,-84.2,42.3,2
09/13/17,AZ,Tucson,-110.9,32.5,1
09/13/17,NJ,Jackson,-74.4,40.1,2
09/13/17,OH,Akron,-81.6,41.2,2
09/13/17,NM,Albuquerque,-106.7,35.2,1
09/12/17,NJ,Bass River,-74.5,39.6,2
09/12/17,RI,Westerly,-71.8,41.4,3
09/12/17,MN,Lakeville,-93.2,44.6,3
09/12/17,QC,Dunham,-72.8,45.1,1
09/12/17,ME,Boothbay,-69.6,43.8,2
09/12/17,OH,Euclid,-81.5,41.6,3
09/12/17,ON,West Lorne,-81.6,42.6,1
09/12/17,IN,Fort Wayne,-85.1,41.1,2
09/12/17,NY,Bloomingdale,-74.1,44.4,1
09/12/17,PA,Fairfield,-77.4,39.8,1
09/12/17,IN,Newburgh,-87.4,37.9,2
09/12/17,CT,Stonington,-71.9,41.4,1
09/12/17,OK,Enid,-97.9,36.4,3
09/12/17,IN,Hammond,-87.5,41.6,1
09/12/17,MS,Hattiesburg,-89.3,31.3,1
09/12/17,NY,Germantown,-73.9,42.2,1
09/12/17,VA,Purcellville,-77.7,39.1,3
09/12/17,MI,Harrisville,-83.3,44.6,3
09/12/17,NE,York,-97.6,40.9,1
09/12/17,NY,Canandaigua,-77.3,42.9,1
09/12/17,PA,Connellsville,-79.6,40,1
09/12/17,ME,Camden,-69.1,44.2,1
09/12/17,NE,Bellevue,-95.9,41.2,4
09/12/17,NM,Silver City,-108.6,32.9,8
09/12/17,WI,Mequon,-87.9,43.3,2
09/12/17,KY,Louisville,-85.9,38.1,1
09/12/17,NY,Troy,-73.7,42.8,1
09/12/17,MN,Minneapolis,-93.2,45,1
09/12/17,NH,Langdon,-72.3,43.2,1
09/12/17,NH,Canaan,-72,43.6,1
09/12/17,LA,Baton Rouge,-91,30.4,2
09/12/17,NM,Alamogordo,-106,32.9,5
09/12/17,MN,Austin,-93,43.7,1
09/12/17,MO,High Ridge,-90.5,38.5,4
09/12/17,MN,Saint Paul,-93.1,44.9,7
09/12/17,VA,Round Hill,-77.8,39.1,1
09/12/17,WV,Wheeling,-80.7,40.1,1
09/12/17,CT,Stratford,-73.1,41.2,3
09/12/17,MA,Northbridge,-71.7,42.1,1
09/12/17,TX,Gause,-96.7,30.7,1
09/12/17,ON,Chatham-Kent,-82.2,42.4,4
09/12/17,ON,West Elgin,-81.6,42.6,2
09/12/17,OH,Hilliard,-83.2,40,1
09/12/17,IA,Union,-93,42.2,1
09/12/17,TX,Springtown,-97.6,33,1
09/12/17,TX,Denton,-97.1,33.2,1
09/12/17,WI,Sturgeon Bay,-87.4,45,4
09/12/17,MN,Thief River Falls,-96.4,48.1,1
09/12/17,PA,East Stroudsburg,-75.2,41,5
09/12/17,WI,Sherwood,-88.3,44.2,3
09/12/17,NE,Ogallala,-101.7,41.1,1
09/12/17,ON,Leamington,-82.5,41.9,6
09/12/17,TX,Houston,-95.5,30,1
09/12/17,IL,Jacksonville,-90.3,39.7,1
09/12/17,TX,Killeen,-97.6,31.2,10
09/12/17,WI,Kewaskum town,-88.2,43.5,1
09/12/17,NY,Erieville,-75.7,42.9,1
09/12/17,NH,Swanzey,-72.3,42.9,1
09/12/17,MO,Kirkwood,-90.4,38.6,4
09/12/17,NY,Melrose,-73.6,42.8,1
09/12/17,MO,Farmington,-90.4,37.7,1
09/12/17,CT,Darien,-73.5,41.1,3
09/12/17,OH,Akron,-81.6,41.1,1
09/12/17,NY,Kingston,-74,42,1
09/12/17,TX,Alvarado,-97.2,32.4,1
09/12/17,MN,Minneapolis,-93.3,44.9,1
09/12/17,FL,Ocala,-82.1,29.1,1
09/12/17,ON,Markham,-79.3,43.9,1
09/12/17,WI,Wisconsin Dells,-89.7,43.6,1
09/12/17,NY,High Falls,-74.1,41.8,2
09/12/17,ON,Leamington,-82.5,41.9,1
09/12/17,NY,Huntington Station,-73.4,40.9,3
09/12/17,ME,Stonington,-68.6,44,3
09/12/17,NJ,Moorestown,-75,40,1
09/12/17,AR,Bentonville,-94.2,36.4,1
09/12/17,TX,Cypress,-95.7,30,2
09/12/17,MN,Duluth,-92.1,46.8,1
09/12/17,TX,Austin,-97.9,30.2,2
09/12/17,KS,Parsons,-95.3,37.3,3
09/12/17,NH,Francestown,-71.8,43,1
09/12/17,PA,Philadelphia,-75,40,4
09/12/17,CO,Grand Junction,-108.6,39.1,1
09/12/17,OH,Chillicothe,-83,39.4,1
09/12/17,MD,"Berlin, Maryland",-75.2,38.3,3
09/12/17,CA,Oroville,-121.5,39.7,1
09/12/17,OH,Spring Valley,-84,39.6,2
09/12/17,TX,Granbury,-97.8,32.5,2
09/12/17,ME,Swans Island,-68.4,44.1,2
09/12/17,NH,Claremont,-72.3,43.3,1
09/12/17,NV,Henderson,-115.1,36.1,1
09/12/17,MN,Preston,-92.2,43.6,3
09/12/17,MN,Minneapolis,-93.2,45,1
09/12/17,OK,Tulsa,-96,36.1,4
09/12/17,AZ,Tucson,-111,32.3,1
09/12/17,WI,West Bend,-88.2,43.4,1
09/12/17,OH,Columbus,-82.8,40.1,1
09/12/17,ON,Chatham-Kent,-81.9,42.3,1
09/12/17,ON,Morpeth,-81.9,42.3,5
09/12/17,SD,Fort Pierre,-100.4,44.4,9
09/12/17,NY,Rodman,-75.9,43.8,1
09/12/17,NH,Hudson,-71.4,42.7,1
09/12/17,TX,Live Oak,-98.3,29.6,1
09/12/17,TX,Houston,-95.6,30,5
09/12/17,PA,Morrisville,-74.8,40.2,2
09/12/17,TX,Comfort,-98.9,30,2
09/12/17,CA,Glen Ellen,-122.5,38.4,2
09/12/17,NY,Carmel Hamlet,-73.7,41.5,1
09/12/17,MD,Saint Leonard,-76.5,38.5,1
09/11/17,IL,Chicago,-87.6,41.9,1
09/11/17,VT,Duxbury,-72.7,44.3,1
09/11/17,WI,Kewaunee,-87.5,44.5,2
09/11/17,ME,Boothbay,-69.6,43.8,5
09/11/17,PA,Stroudsburg,-75.2,41,1
09/11/17,MN,Columbia Heights,-93.2,45,1
09/11/17,NY,Ithaca,-76.5,42.5,1
09/11/17,WI,Portage,-89.5,43.5,1
09/11/17,NY,Germantown,-73.9,42.1,1
09/11/17,VT,Mount Holly,-72.8,43.4,1
09/11/17,QC,Longueuil,-73.4,45.5,36
09/11/17,OH,Medina,-81.8,41.1,1
09/11/17,KS,Atchison,-95.1,39.6,7
09/11/17,KS,Mulvane,-97.2,37.5,1
09/11/17,WI,Mequon,-87.9,43.3,2
09/11/17,CT,Meriden,-72.8,41.5,1
09/11/17,OH,Medina,-81.8,41.1,1
09/11/17,VA,McLean,-77.2,38.9,1
09/11/17,MO,St. Louis,-90.4,38.6,1
09/11/17,MO,St. Louis,-90.4,38.6,1
09/11/17,MI,Holland,-86.2,42.8,1
09/11/17,MI,Boyne City,-85.1,45.3,1
09/11/17,FL,Hilliard,-81.9,30.7,2
09/11/17,VT,Newfane,-72.7,43,1
09/11/17,MI,Harrisville,-83.3,44.6,1
09/11/17,WI,Howard,-88.1,44.6,1
09/11/17,VA,Burke,-77.3,38.8,1
09/11/17,OH,Hamilton,-84.6,39.4,1
09/11/17,OK,Oklahoma City,-97.5,35.5,1
09/11/17,OK,Oklahoma City,-97.5,35.5,1
09/11/17,IA,Stratford,-93.8,42.2,1
09/11/17,MN,Pequot Lakes,-94.3,46.7,1
09/11/17,IN,Newburgh,-87.4,37.9,3
09/11/17,NY,Melrose,-73.6,42.8,1
09/11/17,WI,Black River Falls,-90.9,44.3,2
09/11/17,PA,Lykens,-76.7,40.6,3
09/11/17,IA,Ames,-93.6,42,2
09/11/17,CT,Orange,-73,41.3,1
09/11/17,NM,Espa̱ola,-106.1,36,2
09/11/17,ON,Chatham-Kent,-82.2,42.4,5
09/11/17,VA,Brambleton,-77.5,39,1
09/11/17,NC,New Bern,-77,35.1,3
09/11/17,IL,Brookfield,-87.9,41.8,4
09/11/17,NH,Hanover,-72.3,43.7,1
09/11/17,TX,Cookville,-94.8,33.2,1
09/11/17,WI,Oregon,-89.3,43,1
09/11/17,NM,Bernalillo,-106.5,35.3,5
09/11/17,CA,Newcastle,-121.1,38.9,1
09/11/17,NM,Silver City,-108.2,33.2,2
09/11/17,OH,Mentor,-81.3,41.7,2
09/11/17,TX,Fort Worth,-97.3,32.8,3
09/11/17,KY,Crestview Hills,-84.6,39,3
09/11/17,IL,Columbia,-90.2,38.4,2
09/11/17,TX,Littlefield,-102.4,33.7,1
09/11/17,MI,Roscommon,-84.7,44.5,1
09/11/17,PA,Pittsburgh,-79.9,40.5,1
09/11/17,TX,Houston,-95.6,30,8
09/11/17,NY,Germantown,-73.9,42.1,1
09/11/17,MA,Chatham,-70,41.7,2
09/11/17,MO,Farmington,-90.4,37.7,1
09/11/17,ON,Baysville,-79.1,45.2,1
09/11/17,IA,Melbourne,-93.1,41.9,1
09/11/17,VT,Duxbury,-72.7,44.3,5
09/11/17,VT,Waterbury Center,-72.7,44.4,1
09/11/17,MN,Chaska,-93.6,44.9,3
09/11/17,MN,Minneapolis,-93.4,44.9,1
09/11/17,IN,Michigan City,-86.8,41.7,2
09/11/17,IN,Fort Wayne,-85.1,41,1
09/11/17,OK,Tecumseh,-96.9,35.3,1
09/11/17,ON,Port Hope,-78.3,44,1
09/11/17,ON,Greater Napanee,-77,44.3,1
09/11/17,MN,Saint Anthony,-93.2,45,1
09/11/17,KS,Great Bend,-98.6,38.4,2
09/11/17,CT,Stratford,-73.1,41.2,1
09/11/17,VA,Bedford,-79.5,37.3,1
09/11/17,OR,Juntura,-117.9,43.8,1
09/11/17,NY,Erieville,-75.7,42.9,1
09/11/17,TX,Denton,-97.1,33.2,1
09/11/17,WI,Reedsburg,-89.9,43.5,1
09/11/17,TX,Montgomery,-95.8,30.4,4
09/11/17,MO,Kimberling City,-93.4,36.6,1
09/11/17,ON,Napanee,-77.1,44.1,2
09/11/17,IA,Fairfax,-91.8,41.9,6
09/11/17,NY,Greene,-75.8,42.3,2
09/11/17,NY,Ocean Beach,-73.2,40.6,150
09/11/17,NH,Mason,-71.8,42.7,2
09/11/17,MN,Brooklyn Center,-93.3,45.1,3
09/11/17,AR,Gentry,-94.5,36.3,2
09/11/17,TX,Bedford,-97.1,32.8,2
09/11/17,WI,Allenton,-88.4,43.4,1
09/11/17,MB,Winnipeg,-97.1,49.9,2
09/11/17,ME,Belfast,-69.1,44.4,1
09/11/17,ON,Morpeth,-81.9,42.3,1
09/11/17,SD,Fort Pierre,-100.4,44.4,9
09/11/17,NY,Melrose,-73.6,42.8,7
09/11/17,COA,El Chorro,-100.8,25.4,1
09/11/17,SC,Hilton Head Island,-80.8,32.2,1
09/11/17,TX,Live Oak,-98.3,29.6,1
09/11/17,NM,Ohkay Owingeh,-106,36.1,1
09/11/17,TX,Wichita Falls,-98.5,33.9,2
09/11/17,TX,Houston,-95.6,30,7
09/11/17,PA,Morrisville,-74.8,40.2,1
09/11/17,IA,Cedar Falls,-92.4,42.5,2
09/11/17,IA,Cedar Falls,-92.4,42.5,3
09/11/17,WY,Casper,-106.4,42.8,2
09/11/17,IA,Cedar Falls,-92.5,42.5,1
09/11/17,IA,Cedar Falls,-92.4,42.5,3
09/11/17,TX,Mansfield,-97.2,32.6,1
09/11/17,IL,Chicago,-87.6,41.9,1
09/10/17,NM,Silver City,-108.6,33.5,6
09/10/17,VT,Shrewsbury,-72.9,43.5,12
09/10/17,NV,Sparks,-119.7,39.6,1
09/10/17,TX,New Braunfels,-98.1,29.7,1
09/10/17,IA,Cedar Falls,-92.5,42.5,3
09/10/17,ON,Newcastle,-78.6,43.9,143
09/10/17,ON,Newcastle,-78.6,43.9,107
09/10/17,TX,Stamford,-99.8,32.9,1
09/10/17,IA,Cedar Falls,-92.5,42.5,7
09/10/17,WY,Casper,-106.4,42.8,1
09/10/17,IL,Antioch,-88.1,42.5,2
09/10/17,MI,Ann Arbor,-83.8,42.2,2
09/10/17,IL,Chicago,-87.6,41.9,1
09/10/17,MD,Silver Spring,-77,39,1
09/10/17,TX,Burleson,-97.3,32.5,4
09/10/17,GA,Dahlonega,-84,34.6,1
09/10/17,IL,Chicago,-87.7,42,2
09/10/17,MN,Minnetonka,-93.5,44.9,1
09/10/17,OK,Tulsa,-96,36.2,6
09/10/17,MN,Pequot Lakes,-94.3,46.6,3
09/10/17,OK,Tulsa,-96,36.1,1
09/10/17,QC,Pointe-claire,-73.8,45.5,1
09/10/17,MN,Minneapolis,-93.2,45,1
09/10/17,FL,Hilliard,-81.9,30.7,2
09/10/17,ON,Lakeside,-81,43.2,1
09/10/17,MN,Minneapolis,-93.3,45,1
09/10/17,MO,St. Louis,-90.3,38.6,1
09/10/17,ON,Newcastle,-78.6,43.9,22
09/10/17,MO,Pacific,-90.7,38.4,1
09/10/17,WI,Waunakee,-89.4,43.1,6
09/10/17,MO,Ballwin,-90.5,38.6,1
09/10/17,MO,Florence,-93,38.6,1
09/10/17,VA,King George,-77.1,38.4,5
09/10/17,VA,King George,-77.1,38.4,1
09/10/17,NY,Robert moses,-73.5,40.8,100
09/10/17,WI,Portage,-89.5,43.5,1
09/10/17,NE,Grand Island,-98.4,40.9,2
09/10/17,NC,Sunset Beach,-78.5,33.9,1
09/10/17,ON,Perth,-76.2,44.9,1
09/10/17,ON,Chatham-Kent,-82.2,42.4,4
09/10/17,IA,Eldora,-93.1,42.4,3
09/10/17,ON,Leamington,-82.5,41.9,9
09/10/17,NY,Cato,-76.5,43.2,1
