Date,State,Town,Longitude,Latitude,Sighting
04/23/17,OK,Ramona,-95.9,36.5,1
04/23/17,IL,Prairie du Rocher,-90.1,38.1,1
04/23/17,VA,Lynchburg,-79.2,37.4,1
04/22/17,IL,Springfield,-89.7,39.8,1
04/22/17,VA,Forest,-79.3,37.4,1
04/21/17,TN,Townsend,-83.8,35.6,1
04/21/17,MD,Bishopville,-75.2,38.4,1
04/21/17,VA,Lynchburg,-79.2,37.4,1
04/20/17,AL,Lillian,-87.4,30.4,1
04/20/17,IN,West Point,-87,40.3,1
04/20/17,TX,Greenville,-96.1,33.1,1
04/19/17,MD,Bishopville,-75.1,38.4,1
04/19/17,TX,Fredonia,-99.1,30.9,1
04/19/17,GA,Sandy Springs,-84.4,33.9,1
04/18/17,IL,Tolono,-88.3,40,1
04/18/17,MO,Republic,-93.5,37.1,1
04/18/17,IL,Hannah City,-89.8,40.7,1
04/18/17,IN,Fort Wayne,-85.1,41.1,1
04/18/17,NE,Grand Island,-98.4,40.9,1
04/17/17,VA,Chantilly,-77.5,38.9,1
04/17/17,MI,Zeeland,-86,42.8,1
04/16/17,KS,Olathe,-94.8,38.9,1
04/15/17,CO,Strasburg,-104.3,39.6,1
04/15/17,NY,Commack,-73.3,40.8,1
04/14/17,IN,Newburgh,-87.4,37.9,1
04/14/17,OR,Williams,-123.2,42.2,1
04/14/17,NC,Charlotte,-80.8,35.2,1
04/14/17,CA,San Leandro,-122.2,37.7,1
04/13/17,KS,Topeka,-95.6,39.1,1
04/13/17,CA,Chatsworth,-118.4,34.1,1
04/13/17,TX,Houston,-95.6,30,1
04/13/17,GA,Plains,-84.4,32.1,1
04/13/17,PA,Uniontown,-79.7,39.9,1
04/13/17,SC,Rock Hill,-81,34.9,1
04/12/17,MO,Saint Louis,-90.2,38.6,1
04/12/17,AR,Eureka Springs,-93.8,36.4,1
04/12/17,IL,Prairie View,-87.9,42.2,1
04/12/17,TX,Boerne,-98.7,29.8,1
04/12/17,MO,Thayer,-91.6,36.5,1
04/11/17,GA,Lawrenceville,-84,34,1
04/11/17,KS,Park City,-97.3,37.8,1
04/10/17,OK,Bartlesville,-95.9,36.7,1
04/10/17,OK,Grove,-94.8,36.6,1
04/10/17,FL,Hernando,-82.4,28.9,1
04/09/17,TX,Spring,-95.4,30.1,1
04/09/17,MO,Kirkwood,-90.4,38.6,1
04/09/17,KS,Bonner Springs,-94.9,39.1,1
04/09/17,FL,Bradenton,-82.6,27.5,1
04/08/17,TX,Hondo,-99.2,29.5,1
04/08/17,AR,Lowell,-94.1,36.3,1
04/08/17,MS,Jackson,-90.3,32.3,1
04/06/17,FL,Plant City,-82.1,28.1,1
04/04/17,TN,South Fulton,-88.9,36.4,1
04/04/17,TX,Glen Rose,-97.9,32.1,1
04/04/17,AR,Texarkana,-94,33.5,1
04/02/17,AR,Little Rock,-92.5,34.7,1
04/02/17,OK,Stillwater,-97,36.1,1
04/01/17,AR,Hot Springs,-93,34.5,1
04/01/17,TX,Boerne,-98.8,29.8,1
04/01/17,CO,Lyons,-105.3,40.2,1
04/01/17,GA,Lyerly,-85.4,34.4,1
04/01/17,AZ,Scottsdale,-111.9,33.8,1
04/01/17,IN,Indianapolis,-86.1,39.8,1
03/30/17,AR,North Little Rock,-92.2,34.8,1
03/30/17,TX,Lampasas,-98.2,31.1,1
03/30/17,KS,Wichita,-97.2,37.7,1
03/30/17,TX,Dripping Springs,-98.1,30.3,1
03/29/17,GA,Brunswick,-81.5,31.2,1
03/29/17,GA,Leesburg,-84.2,31.7,1
03/29/17,AL,Spanish Fort,-87.9,30.7,1
03/29/17,TX,Fair Oaks Ranch,-98.7,29.7,1
03/29/17,TX,Livingston,-95,30.7,1
03/28/17,CA,Spring Valley,-117,32.7,1
03/28/17,OK,Tulsa,-96,36.1,1
03/28/17,AL,Moody,-86.5,33.6,1
03/26/17,TX,Houston,-95.6,29.9,1
03/23/17,TX,Dripping Springs,-98.1,30.2,1
03/23/17,TX,Marble Falls,-98.3,30.5,1
03/23/17,TX,Chillicothe,-99.5,34.2,1
03/22/17,TX,Boerne,-98.7,29.8,1
03/22/17,TX,Glen Rose,-97.9,32.1,1
